,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-07-01,657.7386001642518,-167.96326012226916,1315.0542474307313,657.3495913315742,658.5936426651692,-97.35616316360453,-97.35616316360453,-97.35616316360453,-4.634685224777071,-4.634685224777071,-4.634685224777071,-92.72147793882745,-92.72147793882745,-92.72147793882745,0.0,0.0,0.0,560.3824370006473
1,2021-07-02,659.2088285664681,-190.22590143303924,1268.0434339366113,658.6186525036256,660.2659933272978,-120.78324610397854,-120.78324610397854,-120.78324610397854,-23.069250390536535,-23.069250390536535,-23.069250390536535,-97.71399571344197,-97.71399571344197,-97.71399571344197,0.0,0.0,0.0,538.4255824624896
2,2021-07-03,660.6790569686841,-137.9669489911082,1375.7525890934298,659.7788612184697,661.9384434069271,-29.34310911017016,-29.34310911017016,-29.34310911017016,73.4236884135933,73.4236884135933,73.4236884135933,-102.76679752376344,-102.76679752376344,-102.76679752376344,0.0,0.0,0.0,631.3359478585139
3,2021-07-04,662.1492853708997,-66.64674139452603,1364.1121685104956,660.9730579876169,663.6592812881347,-34.404453629633785,-34.404453629633785,-34.404453629633785,73.36118910192589,73.36118910192589,73.36118910192589,-107.76564273155967,-107.76564273155967,-107.76564273155967,0.0,0.0,0.0,627.744831741266
4,2021-07-05,663.6195137731161,-230.05573411027027,1306.8278742083876,661.9929262159334,665.557111160744,-134.84786656542497,-134.84786656542497,-134.84786656542497,-22.2529425380886,-22.2529425380886,-22.2529425380886,-112.5949240273364,-112.5949240273364,-112.5949240273364,0.0,0.0,0.0,528.7716472076911
5,2021-07-06,665.0897421753322,-217.65528015556518,1275.987952166892,663.1050267906297,667.3883347177033,-155.6132242301124,-155.6132242301124,-155.6132242301124,-38.47269219207028,-38.47269219207028,-38.47269219207028,-117.14053203804211,-117.14053203804211,-117.14053203804211,0.0,0.0,0.0,509.47651794521977
6,2021-07-07,666.5599705775485,-341.4678906986666,1195.9872806831088,664.1879309509268,669.2313912085939,-179.64795313715183,-179.64795313715183,-179.64795313715183,-58.35530717006957,-58.35530717006957,-58.35530717006957,-121.2926459670823,-121.2926459670823,-121.2926459670823,0.0,0.0,0.0,486.91201744039665
7,2021-07-08,668.0301989797645,-243.57025345677818,1312.374344464935,665.1456922198857,671.0649886865152,-129.58306182164506,-129.58306182164506,-129.58306182164506,-4.634685224786967,-4.634685224786967,-4.634685224786967,-124.94837659685807,-124.94837659685807,-124.94837659685807,0.0,0.0,0.0,538.4471371581194
8,2021-07-09,669.5004273819808,-231.714863158458,1260.6468969034313,666.1123451546764,672.9555503689148,-151.08344365867273,-151.08344365867273,-151.08344365867273,-23.069250390582663,-23.069250390582663,-23.069250390582663,-128.01419326809008,-128.01419326809008,-128.01419326809008,0.0,0.0,0.0,518.416983723308
9,2021-07-10,670.9706557841968,-124.93458523438476,1392.3224279665617,667.0889756948939,674.8798908928587,-56.98438516146726,-56.98438516146726,-56.98438516146726,73.42368841344701,73.42368841344701,73.42368841344701,-130.40807357491428,-130.40807357491428,-130.40807357491428,0.0,0.0,0.0,613.9862706227295
10,2021-07-11,672.4408841864127,-77.0124805241501,1352.8575316499953,668.2722398726165,676.8996936631929,-58.70013415367007,-58.70013415367007,-58.70013415367007,73.3611891017563,73.3611891017563,73.3611891017563,-132.06132325542637,-132.06132325542637,-132.06132325542637,0.0,0.0,0.0,613.7407500327427
11,2021-07-12,673.9111125886288,-158.7756368917416,1325.532912513892,669.3698104448563,678.7399593296635,-155.17296637572062,-155.17296637572062,-155.17296637572062,-22.252942538187146,-22.252942538187146,-22.252942538187146,-132.92002383753348,-132.92002383753348,-132.92002383753348,0.0,0.0,0.0,518.7381462129082
12,2021-07-13,675.3813409908448,-196.25478004764724,1228.472007345158,670.6210520813516,680.7374333756849,-171.41876890806188,-171.41876890806188,-171.41876890806188,-38.47269219204682,-38.47269219204682,-38.47269219204682,-132.94607671601503,-132.94607671601503,-132.94607671601503,0.0,0.0,0.0,503.9625720827829
13,2021-07-14,676.8515693930611,-253.04061875505968,1228.4967541545618,671.7460121369015,682.6872387689066,-190.473131320776,-190.473131320776,-190.473131320776,-58.355307170155356,-58.355307170155356,-58.355307170155356,-132.11782415062063,-132.11782415062063,-132.11782415062063,0.0,0.0,0.0,486.3784380722851
14,2021-07-15,678.3217977952771,-230.15198387800933,1310.1595991729957,672.8539589669992,684.544815731432,-135.06492506610476,-135.06492506610476,-135.06492506610476,-4.634685224753483,-4.634685224753483,-4.634685224753483,-130.4302398413513,-130.4302398413513,-130.4302398413513,0.0,0.0,0.0,543.2568727291723
15,2021-07-16,679.7920261974934,-244.06257840198802,1324.24996708263,673.8369573630135,686.4992187796687,-150.96394428654384,-150.96394428654384,-150.96394428654384,-23.0692503904072,-23.0692503904072,-23.0692503904072,-127.89469389613663,-127.89469389613663,-127.89469389613663,0.0,0.0,0.0,528.8280819109495
16,2021-07-17,681.2622545997094,-83.49064080606898,1361.2714895184167,674.4561341865585,688.4284824499338,-51.11462039792425,-51.11462039792425,-51.11462039792425,73.42368841361255,73.42368841361255,73.42368841361255,-124.5383088115368,-124.5383088115368,-124.5383088115368,0.0,0.0,0.0,630.1476342017852
17,2021-07-18,682.7324830019254,-123.07480933238257,1362.843726280577,675.3569845721732,690.4015956634494,-47.041745097120376,-47.041745097120376,-47.041745097120376,73.36118910192698,73.36118910192698,73.36118910192698,-120.40293419904735,-120.40293419904735,-120.40293419904735,0.0,0.0,0.0,635.690737904805
18,2021-07-19,684.2027114041415,-197.59823101368102,1286.7343240877804,676.3278292077612,692.4157839126539,-137.7967206383531,-137.7967206383531,-137.7967206383531,-22.25294253793183,-22.25294253793183,-22.25294253793183,-115.54377810042125,-115.54377810042125,-115.54377810042125,0.0,0.0,0.0,546.4059907657884
